,source,edge,target
0,we,give,cloud computing ofmid-2012
1,providers,support,Platform delivery SaaS
2,SaaS delivery Microsoft,focused,public  clouds
4,platforms,used as,private control cloud
5,level responsibility,continue,ecological cloud computing
7,We,conclude with,current user systems
9,cloud computing which,offers,private cloud computing environments
10,which,includes,servers
11,IBM,announced,private cloud lines
14,HP,announced,cloud computing club
16,Oracle,announced,early enterprise 2012
17,Cloud,based on,such software Exadata
18,Oracle,plans,application
20,platform services,based,Java
