,source,edge,target
1,servers,communicate,specialized  networks
4,chapter,starts with,basic packet Sections
6,transformational  changes,surveyed,Section
8,Section,covers,initial congestion control TCP
9,Models,analyzed,network resource Section
10,topologies,discussed in,storage area Sections
11,networks,presented in,free world Sections
12,Finally  Section,is devoted,7.12 epidemic algorithms
