,source,edge,target
1000,images,create,such  hostname
1001,iv,add,image
1002,EC2,based_on,Xen virtualization Section
1003,instance,specifies,available  hour
1004,user,interact_with,running console output
1005,user,has,elastic computing EC2
1006,instances,placed_in_multiple,different  regions
1007,EC2,allows,virtual user facility
1008,EC2,distributes,balancing application facility
1009,EC2,associates,elastic  IP
1010,user,allows,public software support team
1011,System,supports,minimal  functions
1012,S3,allows,five  terabytes
1013,object,stored_in,assigned  key
1014,bucket,stored_in,user
1015,S3,maintains,defined access control object
1016,rights,granted,other  users
1017,S3,supports,one  another
1018,MD52,computes,field
1019,MD52,written,object
1020,then  object,corrupted_during,transmission
1021,SLA,guarantees,reliability
1022,interface,provided,high scale distribution
1023,Store,provides_persistent,persistent Amazon EC2 instances
1024,size,ranges_from,one storage terabyte
1025,volumes,grouped,automatically availability zone
1026,instance,mount_multiple,multiple  volumes
1027,volume,shared_among_multiple,multiple  instances
1028,EBS,supports,then  instance
1029,DB,supports,relational  databases
1030,DB,creates_multiple,distributed data item
1031,same  DB,manages,hardware data items
1032,automated  SQS,allows_multiple,multiple SQS messages
1033,computer,add,installed  software
1034,Applications,run,same  technologies
1035,Developers,access,based  SOAP
1036,anonymously queue sharing,shared_with_other,also IP day
1037,example,presented_in,message Section
1038,user,monitor,then  metrics
1039,user,start,type
1040,service,used,other RDS DB applications
1041,Cloud,provides,existing IT organization
1042,infrastructure,connected_via,isolated AWS compute resources
1043,existing management capabilities,allows,seamlessly intrusion detection cloud
1044,Scaling,exploits,automatic EC2 instances
1045,size,of,group
1046,Typically  maximum,specified,regular  group
1047,group,consists_of,static launch configurations
1048,new  instances,started,launch configuration
1049,instances,terminated,older launch configurations
1050,function,carries,Auto Scaling health
1051,user,specify,health
1052,then Auto Scaling,terminate,new  one
1053,Triggers,use,CloudWatch
1054,CPU  utilization,detect,new  instances
1055,which,supports,workflow
1056,that,handles,automatically application monitoring 356
1057,service,scales,default Auto Scaling settings
1058,Java developer,create,such Web Application type
1059,short Management application,will,short Management time
1060,CloudFormation,allows,application
1061,text file,creates,configuration resources
1062,template,parameterized,e.g.  instances
1063,Amazon that,allows,AWS
1064,AMI Key SSH,running,Type
1065,provider,terminate,reason
1066,AWSLA,prohibits,direct  sellers
1067,that,prohibits,otherwise  person
1068,illegal  that,prohibits,race
1069,that,used,illegal  activities
1070,Users,have_several,several Microsoft 1
1071,Today  Amazon,offers,several data Table
1072,regions,communicate_through,resources
1073,Aservermay,run_multiple,virtual  machines
1074,instance,use,other Simple Figure
1075,systems,allows,same availability region
1076,EBS volumes,replicated_within,same availability zone
1077,when  servers,advised,catastrophic  events
1078,user,request_virtual,virtual  regions
1079,user,request,virtual availability region
1080,user,allows,virtual  servers
1081,rates,determined_by,operating energy
1082,Thus  choice,reduce,communication reliability
1083,limited instance that,chooses,I O application
1084,instance,provided_with,DNS name
1085,e.g. Amazon that,maps_to,internal IP ones
1086,address,assigned_for,instance
1087,when IP instance,returned_to,public IP addresses
1088,instance,request,public IP address
1089,Amazon,charges,EC2 instances
1090,Charges,differ_from,one  another
1091,reservation,required_for,popular  model
1092,reserved  user,pays,hourly time rate
1093,substantial CPU amount,require,substantial CPU cycles
1094,when market price,bid_on_unused,user
1095,system,offers_several,several instance types
1096,Table,summarizes,3.2  instance
1097,power,measured_in,virtual EC2 compute units
1098,charges,depend_on,outside AWS region
1099,charges,shown_in,USWest  Table
1100,Garfinkel,reported,early Amazon Web Services
1101,new  instance,started_in_less,two  minutes
1102,unscheduled  reboot,experienced,testing
1103,data,lost_during,reboot
1104,data,recovered_from,frozen  instance
1105,bucket,created,1  byte
1106,transaction,reflected,successfully  next
1107,transaction,resolved_before,successfully  next
1108,user,showed,overlapping S3 transactions
1109,maximum S3 system,measured,single client thread
1110,data throughput,concluded,high  transaction
1111,concurrent  requests,designed,S3
1112,concurrent  requests,improve,the
1113,experiment,involved,100 MB GET
1114,number,increased_from,one
1115,bandwidth,cut_in,six  threads
1116,four read retries,encountered,errors
1117,We,start,proportional data systems
1118,we,analyze,Chapter
1119,efficiency,captured_by,power
1120,two  performance,increased_much,computing systems
1121,performance,increased_by,subject operating efficiency
1122,power requirements,use,3.6 power 42
1123,systems,lead_to_large,large computing clouds
1124,more  load,consumes,light  load
1125,subsystems,behave,differently energy efficiency
1126,processors,have,memory  subsystems
1127,processors,consume_less,very peak lowload
1128,number,emerged,proposals
1129,data center network,argue,different butterfly interconnect
1130,channels,consist_of_multiple,serial  lanes
1131,physical  unit,stripped_across,active  lanes
1132,regardless  Channels,operate,multiple  lanes
1133,Channels,send_idle,idle  packets
1134,One,based_on,replication
1135,strategy,reported_in,sliding  364
1136,technique,based_on,data migration
1137,system,uses,data storage
1138,daily term optimization number,controlled_by,longer term optimization period
1139,"6,000 data centers",consumed,$ 4.5 billion
1140,instantaneous  demand,expected,new power plants
1141,network infrastructure,predicted,2010  efficiency
1142,30 energy efficiency,improved_by,six  magnitude
1143,effort,focused_on,data center
1144,typical Google cluster,spends_most,cluster time
1145,when  network,operate_in,dynamic  range
1146,dynamic resource provisioning,argue,power consumption
1147,resource management framework,presented_in,dynamic SLA 358
1148,support,consumes,very  large
1149,MB Internet Internet,ranges_from,MB ebook reading
1150,energy demand,reports,4 network bandwidth
